Château de Vincennes,Bérault,
Bérault,Saint-Mandé,
Saint-Mandé,Porte de Vincennes,
Porte de Vincennes,Nation,
Nation,Reuilly-Diderot,
Reuilly-Diderot,Gare de Lyon,
Gare de Lyon,Bastille,
Bastille,Saint-Paul (Le Marais),
Saint-Paul (Le Marais),Hôtel de Ville,
Hôtel de Ville,Châtelet,
Châtelet,Louvre-Rivoli,
Louvre-Rivoli,Palais-Royal (Musée du Louvre),
Palais-Royal (Musée du Louvre),Tuileries,
Tuileries,Concorde,
Concorde,Champs-Elysées-Clémenceau,
Champs-Elysées-Clémenceau,Franklin-Roosevelt,
Franklin-Roosevelt,George V,
George V,Charles de Gaulle-Etoile,
Charles de Gaulle-Etoile,Argentine,
Argentine,Porte Maillot,
Porte Maillot,Les Sablons (Jardin d'acclimatation),
Les Sablons (Jardin d'acclimatation),Pont de Neuilly,
Pont de Neuilly,Esplanade de la Défense,
Esplanade de la Défense,La Défense (Grande Arche),
Nation,Avron,
Avron,Alexandre-Dumas,
Alexandre-Dumas,Philippe Auguste,
Philippe Auguste,Père-Lachaise,
Père-Lachaise,Ménilmontant,
Ménilmontant,Couronnes,
Couronnes,Belleville,
Belleville,Colonel Fabien,
Colonel Fabien,Jaurès,
Jaurès,Stalingrad,
Stalingrad,La Chapelle,
La Chapelle,Barbès-Rochechouart,
Barbès-Rochechouart,Anvers,
Anvers,Pigalle,
Pigalle,Blanche,
Blanche,Place de Clichy,
Place de Clichy,Rome,
Rome,Villiers,
Villiers,Monceau,
Monceau,Courcelles,
Courcelles,Ternes,
Ternes,Charles de Gaulle-Etoile,
Charles de Gaulle-Etoile,Victor Hugo,
Victor Hugo,Porte Dauphine (Maréchal de Lattre de Tassigny),